Num.CMD,Date.CMD,Fournisseur,Code Produit,Produit,Quantité,Montant HT,Taxe,Montant TTC,,
AFL/0005,5/20/2025,SARL IMPORT COMPUTER,COMPU.0020,Laptop HP Probook G4,15,"1,590,000","302,100","1,892,100",,
AFL/0005,5/20/2025,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,12,"504,000","95,760","599,760",,
AFL/0005,5/20/2025,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,30,"1,440",273.6,"1,713.60",,
AFI/0006,5/25/2025,EURL ABM,COMPU.0011,Laptop Lenovo 110,8,"552,000","104,880","656,880",,
AFI/0006,5/25/2025,EURL ABM,IMPR.0007,Printer EPSON 3010,10,"240,000","45,600","285,600",,
AFI/0006,5/25/2025,EURL ABM,SCA.0002,Scanner Epson 1600,5,"80,000","15,200","95,200",,
AFI/0006,5/25/2025,EURL ABM,INK.0001,INK Canon 3210,40,"25,200","4,788","29,988",,
AFI/0007,5/28/2025,SNC Wiffak,INK.0005,INK Epson 110,50,"31,500","5,985","37,485",,
AFL/0008,6/10/2025,SARL IMPORT COMPUTER,COMPU.0020,Laptop HP Probook G4,12,"1,296,000","246,240","1,542,240",,
AFL/0008,6/10/2025,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,10,"430,000","81,700","511,700",,
AFL/0008,6/10/2025,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,25,"1,250",237.5,"1,487.50",,
AFI/0009,6/15/2025,EURL MICROSUP,COMPU.0020,Laptop HP Probook G4,8,"848,000","161,120","1,009,120",,
AFI/0009,6/15/2025,EURL MICROSUP,IMPR.0007,Printer EPSON 3010,8,"196,000","37,240","233,240",,
AFI/0009,6/15/2025,EURL MICROSUP,INK.0001,INK Canon 3210,30,"19,500","3,705","23,205",,
AFI/0010,6/18/2025,EURL ABM,COMPU.0011,Laptop Lenovo 110,10,"710,000","134,900","844,900",,
AFI/0010,6/18/2025,EURL ABM,SCA.0002,Scanner Epson 1600,6,"98,400","18,696","117,096",,
AFI/0010,6/18/2025,EURL ABM,INK.0005,INK Epson 110,40,"26,000","4,940","30,940",,
AFL/0011,7/5/2025,SARL IMPORT COMPUTER,COMPU.0020,HP Probook G4 New Edition,20,"2,180,000","414,200","2,594,200",,
AFL/0011,7/5/2025,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,15,"660,000","125,400","785,400",,
AFL/0011,7/5/2025,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,40,"2,080",395.2,"2,475.20",,
AFI/0012,7/10/2025,SNC DISTECH,COMPU.0020,HP Probook G4 New Edition,10,"1,085,000","206,150","1,291,150",,
AFI/0012,7/10/2025,SNC DISTECH,IMPR.0007,Printer EPSON 3010,12,"300,000","57,000","357,000",,
AFI/0012,7/10/2025,SNC DISTECH,INK.0005,INK Epson 110,60,"40,800","7,752","48,552",,
AFI/0013,7/15/2025,EURL ABM,COMPU.0011,Laptop Lenovo 110,12,"876,000","166,440","1,042,440",,
AFI/0013,7/15/2025,EURL ABM,IMPR.0002,Printer Canon 6030,10,"440,000","83,600","523,600",,
AFI/0013,7/15/2025,EURL ABM,SCA.0002,Scanner Epson 1600,8,"136,000","25,840","161,840",,
AFI/0013,7/15/2025,EURL ABM,INK.0001,INK Canon 3210,50,"33,500","6,365","39,865",,
AFL/0014,8/5/2025,SARL IMPORT COMPUTER,COMPU.0020,HP Probook G4 New Edition,18,"1,998,000","379,620","2,377,620",,
AFL/0014,8/5/2025,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,20,"900,000","171,000","1,071,000",,
AFL/0014,8/5/2025,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,50,"2,700",513,"3,213",,
AFI/0015,8/10/2025,EURL MICROSUP,COMPU.0020,HP Probook G4 New Edition,12,"1,320,000","250,800","1,570,800",,
AFI/0015,8/10/2025,EURL MICROSUP,IMPR.0007,Printer EPSON 3010,15,"382,500","72,675","455,175",,
AFI/0015,8/10/2025,EURL MICROSUP,INK.0001,INK Canon 3210,45,"31,050","5,899.50","36,949.50",,
AFI/0016,8/15/2025,SNC WIFFAK,INK.0005,INK Epson 110,70,"49,000","9,310","58,310",,
AFI/0016,8/15/2025,SNC WIFFAK,SCA.0002,Scanner Epson 1600,10,"175,000","33,250","208,250",,
AFI/0017,8/20/2025,EURL ABM,COMPU.0011,Laptop Lenovo 110,15,"1,125,000","213,750","1,338,750",,
AFI/0017,8/20/2025,EURL ABM,IMPR.0002,Printer Canon 6030,12,"540,000","102,600","642,600",,
