Num.CMD,Date.CMD,Client,Adresse,Code Produit,Produit,Quantité,Montant HT,Taxe,Montant TTC,,
VCD/0008,6/5/2025,SARL ABC,"Cité 05 Juillet, Constantine",COMPU.0020,Laptop HP Probook G4,3,"384,000","72,960","456,960",,
VCD/0008,6/5/2025,SARL ABC,"Cité 05 Juillet, Constantine",IMPR.0002,Printer Canon 6030,2,"100,000","19,000","119,000",,
VCD/0008,6/5/2025,SARL ABC,"Cité 05 Juillet, Constantine",INK.0034,Toner Canon 6030,5,"9,500","1,805","11,305",,
VCR/0009,6/12/2025,EURL XYZ,"Coopérative Rym, Blida",COMPU.0011,Laptop Lenovo 110,2,"182,000","34,580","216,580",,
VCR/0009,6/12/2025,EURL XYZ,"Coopérative Rym, Blida",IMPR.0007,Printer EPSON 3010,3,"99,000","18,810","117,810",,
VCR/0009,6/12/2025,EURL XYZ,"Coopérative Rym, Blida",SCA.0002,Scanner Epson 1600,2,"44,000","8,360","52,360",,
VCD/0010,6/18/2025,SNC Wiffak,"Boulvard Nord, Sétif",INK.0001,INK Canon 3210,15,"28,500","5,415","33,915",,
VCD/0010,6/18/2025,SNC Wiffak,"Boulvard Nord, Sétif",INK.0005,INK Epson 110,20,"17,000","3,230","20,230",,
VCD/0011,6/25/2025,EURL HAMIDI,"Promotion Bahia, Oran",COMPU.0020,Laptop HP Probook G4,2,"256,000","48,640","304,640",,
VCD/0011,6/25/2025,EURL HAMIDI,"Promotion Bahia, Oran",IMPR.0002,Printer Canon 6030,3,"150,000","28,500","178,500",,
VCD/0012,7/3/2025,SARL AGRODZ,"Cité 310 logt Kouba, Alger",COMPU.0020,HP Probook G4 New Edition,4,"512,000","97,280","609,280",,
VCD/0012,7/3/2025,SARL AGRODZ,"Cité 310 logt Kouba, Alger",IMPR.0007,Printer EPSON 3010,2,"68,000","12,920","80,920",,
VCR/0013,7/10/2025,EURL NOUR ,"Cité des Frères, Constantine",COMPU.0020,HP Probook G4 New Edition,3,"384,000","72,960","456,960",,
VCR/0013,7/10/2025,EURL NOUR,"Cité des Frères, Constantine",IMPR.0002,Printer Canon 6030,4,"200,000","38,000","238,000",,
VCR/0013,7/10/2025,EURL NOUR,"Cité des Frères, Constantine",INK.0034,Toner Canon 6030,8,"15,200","2,888","18,088",,
VCD/0014,7/17/2025,SARL ABC,"Cité 05 Juillet, Constantine",COMPU.0011,Laptop Lenovo 110,3,"273,000","51,870","324,870",,
VCD/0014,7/17/2025,SARL ABC,"Cité 05 Juillet, Constantine",SCA.0002,Scanner Epson 1600,3,"66,000","12,540","78,540",,
VCG/0015,7/24/2025,SARL DIGITAL ,"Rue Didouche, Tizi Ouzou",IMPR.0007,Printer EPSON 3010,5,"170,000","32,300","202,300",,
VCG/0015,7/24/2025,SARL DIGITAL,"Rue Didouche, Tizi Ouzou",INK.0005,INK Epson 110,30,"25,500","4,845","30,345",,
VCG/0015,7/24/2025,SARL DIGITAL,"Rue Didouche, Tizi Ouzou",INK.0001,INK Canon 3210,20,"38,000","7,220","45,220",,
VCD/0016,7/30/2025,EURL XYZ,"Rue 05 Elhamri, Oran",COMPU.0020,HP Probook G4 New Edition,2,"256,000","48,640","304,640",,
VCD/0017,8/5/2025,SNC Wiffak,"Boulvard Nord, Sétif",COMPU.0020,HP Probook G4 New Edition,5,"640,000","121,600","761,600",,
VCD/0017,8/5/2025,SNC Wiffak,"Boulvard Nord, Sétif",IMPR.0002,Printer Canon 6030,6,"300,000","57,000","357,000",,
VCD/0017,8/5/2025,SNC Wiffak,"Boulvard Nord, Sétif",INK.0034,Toner Canon 6030,12,"22,800","4,332","27,132",,
VCR/0018,8/12/2025,EURL HAMIDI,"Promotion Bahia, Oran",COMPU.0011,Laptop Lenovo 110,4,"372,000","70,680","442,680",,
VCR/0018,8/12/2025,EURL HAMIDI,"Promotion Bahia, Oran",IMPR.0007,Printer EPSON 3010,3,"102,000","19,380","121,380",,
VCD/0019,8/19/2025,SARL TECHNO ,"Zone Industrielle, Blida",COMPU.0020,HP Probook G4 New Edition,6,"768,000","145,920","913,920",,
VCD/0019,8/19/2025,SARL TECHNO,"Zone Industrielle, Blida",IMPR.0002,Printer Canon 6030,8,"400,000","76,000","476,000",,
VCD/0019,8/19/2025,SARL TECHNO,"Zone Industrielle, Blida",SCA.0002,Scanner Epson 1600,4,"90,000","17,100","107,100",,
VCR/0020,8/25/2025,SARL AGRODZ,"Cité 310 logt Kouba, Alger",COMPU.0011,Laptop Lenovo 110,3,"279,000","53,010","332,010",,
VCR/0020,8/25/2025,SARL AGRODZ,"Cité 310 logt Kouba, Alger",INK.0001,INK Canon 3210,25,"47,500","9,025","56,525",,
VCR/0020,8/25/2025,SARL AGRODZ,"Cité 310 logt Kouba, Alger",INK.0005,INK Epson 110,25,"21,250","4,037.50","25,287.50",,
VCD/0021,8/29/2025,EURL XYZ,"Rue 05 Elhamri, Oran",COMPU.0020,HP Probook G4 New Edition,4,"512,000","97,280","609,280",,
