Code Produit,Produit,Catégorie Produit,PMP,Cout_Total,QTY_Totale,Nb_Entrees,Premiere_Entree,Derniere_Entree
COMPU.0011,Laptop Lenovo 110,COMPU,72511.11111111111,3263000.0,45.0,4,2025-05-25,2025-08-20
COMPU.0020,Laptop HP Probook G4,COMPU,106685.71428571429,3734000.0,35.0,3,2025-05-20,2025-06-15
COMPU.0020,HP Probook G4 New Edition,COMPU,109716.66666666667,6583000.0,60.0,4,2025-07-05,2025-08-10
IMPR.0002,Printer Canon 6030,IMPR,43974.6835443038,3474000.0,79.0,6,2025-05-20,2025-08-20
IMPR.0007,Printer EPSON 3010,IMPR,24855.555555555555,1118500.0,45.0,4,2025-05-25,2025-08-10
INK.0001,INK Canon 3210,INK,608.7982832618026,709250.0,1165.0,5,2024-12-16,2025-08-10
INK.0005,INK Epson 110,INK,612.5409836065573,747300.0,1220.0,5,2025-02-25,2025-08-15
INK.0034,Toner Canon 6030,INK,50.72727272727273,8370.0,165.0,5,2024-11-05,2025-08-05
LAP.0011,Laptop Lenovo 110,LAP,67000.0,33500000.0,500.0,1,2024-12-16,2024-12-16
LAP.0120,Laptop HP Probook G4,LAP,101666.66666666667,1525000.0,15.0,2,2024-11-05,2025-02-11
PRI.0011,Printer EPSON 3010,PRI,23000.0,11500000.0,500.0,1,2024-12-16,2024-12-16
PRI.0020,Printer Canon 6030,PRI,39461.53846153846,513000.0,13.0,2,2024-11-05,2025-02-11
SCA.0002,Scanner Epson 1600,SCA,15237.554585152839,3489400.0,229.0,5,2024-12-16,2025-08-15
