Num.CMD,Date.CMD,Fournisseur,Code Produit,Produit,QTY,Montant HT,Taxe,Montant TTC,Type Achat,Catégorie Produit,Forme Juridique,Mois,Année,Nom Mois,PU_Achat
POL/0001,2024-11-05,SARL IMPORT COMPUTER,LAP.0120,Laptop HP Probook G4,10.0,1000000.0,190000.0,1190000.0,Local,LAP,SARL,11,2024,November,100000.0
POL/0001,2024-11-05,SARL IMPORT COMPUTER,PRI.0020,Printer Canon 6030,10.0,390000.0,74100.0,464100.0,Local,PRI,SARL,11,2024,November,39000.0
POL/0001,2024-11-05,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,20.0,900.0,171.0,1071.0,Local,INK,SARL,11,2024,November,45.0
POI/0002,2024-12-16,EURL ABM,LAP.0011,Laptop Lenovo 110,500.0,33500000.0,6365000.0,39865000.0,Import,LAP,EURL,12,2024,December,67000.0
POI/0002,2024-12-16,EURL ABM,PRI.0011,Printer EPSON 3010,500.0,11500000.0,2185000.0,13685000.0,Import,PRI,EURL,12,2024,December,23000.0
POI/0002,2024-12-16,EURL ABM,INK.0001,INK Canon 3210,1000.0,600000.0,114000.0,714000.0,Import,INK,EURL,12,2024,December,600.0
POI/0002,2024-12-16,EURL ABM,SCA.0002,Scanner Epson 1600,200.0,3000000.0,570000.0,3570000.0,Import,SCA,EURL,12,2024,December,15000.0
POL/0003,2025-02-11,SARL IMPORT COMPUTER,LAP.0120,Laptop HP Probook G4,5.0,525000.0,99750.0,624750.0,Local,LAP,SARL,2,2025,February,105000.0
POL/0003,2025-02-11,SARL IMPORT COMPUTER,PRI.0020,Printer Canon 6030,3.0,123000.0,23370.0,146370.0,Local,PRI,SARL,2,2025,February,41000.0
POI/0004,2025-02-25,SNC Wiffak,INK.0005,INK Epson 110,1000.0,600000.0,114000.0,714000.0,Import,INK,SNC,2,2025,February,600.0
AFL/0005,2025-05-20,SARL IMPORT COMPUTER,COMPU.0020,Laptop HP Probook G4,15.0,1590000.0,302100.0,1892100.0,Local,COMPU,SARL,5,2025,May,106000.0
AFL/0005,2025-05-20,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,12.0,504000.0,95760.0,599760.0,Local,IMPR,SARL,5,2025,May,42000.0
AFL/0005,2025-05-20,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,30.0,1440.0,273.6,1713.6,Local,INK,SARL,5,2025,May,48.0
AFI/0006,2025-05-25,EURL ABM,COMPU.0011,Laptop Lenovo 110,8.0,552000.0,104880.0,656880.0,Import,COMPU,EURL,5,2025,May,69000.0
AFI/0006,2025-05-25,EURL ABM,IMPR.0007,Printer EPSON 3010,10.0,240000.0,45600.0,285600.0,Import,IMPR,EURL,5,2025,May,24000.0
AFI/0006,2025-05-25,EURL ABM,SCA.0002,Scanner Epson 1600,5.0,80000.0,15200.0,95200.0,Import,SCA,EURL,5,2025,May,16000.0
AFI/0006,2025-05-25,EURL ABM,INK.0001,INK Canon 3210,40.0,25200.0,4788.0,29988.0,Import,INK,EURL,5,2025,May,630.0
AFI/0007,2025-05-28,SNC Wiffak,INK.0005,INK Epson 110,50.0,31500.0,5985.0,37485.0,Import,INK,SNC,5,2025,May,630.0
AFL/0008,2025-06-10,SARL IMPORT COMPUTER,COMPU.0020,Laptop HP Probook G4,12.0,1296000.0,246240.0,1542240.0,Local,COMPU,SARL,6,2025,June,108000.0
AFL/0008,2025-06-10,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,10.0,430000.0,81700.0,511700.0,Local,IMPR,SARL,6,2025,June,43000.0
AFL/0008,2025-06-10,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,25.0,1250.0,237.5,1487.5,Local,INK,SARL,6,2025,June,50.0
AFI/0009,2025-06-15,EURL MICROSUP,COMPU.0020,Laptop HP Probook G4,8.0,848000.0,161120.0,1009120.0,Import,COMPU,EURL,6,2025,June,106000.0
AFI/0009,2025-06-15,EURL MICROSUP,IMPR.0007,Printer EPSON 3010,8.0,196000.0,37240.0,233240.0,Import,IMPR,EURL,6,2025,June,24500.0
AFI/0009,2025-06-15,EURL MICROSUP,INK.0001,INK Canon 3210,30.0,19500.0,3705.0,23205.0,Import,INK,EURL,6,2025,June,650.0
AFI/0010,2025-06-18,EURL ABM,COMPU.0011,Laptop Lenovo 110,10.0,710000.0,134900.0,844900.0,Import,COMPU,EURL,6,2025,June,71000.0
AFI/0010,2025-06-18,EURL ABM,SCA.0002,Scanner Epson 1600,6.0,98400.0,18696.0,117096.0,Import,SCA,EURL,6,2025,June,16400.0
AFI/0010,2025-06-18,EURL ABM,INK.0005,INK Epson 110,40.0,26000.0,4940.0,30940.0,Import,INK,EURL,6,2025,June,650.0
AFL/0011,2025-07-05,SARL IMPORT COMPUTER,COMPU.0020,HP Probook G4 New Edition,20.0,2180000.0,414200.0,2594200.0,Local,COMPU,SARL,7,2025,July,109000.0
AFL/0011,2025-07-05,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,15.0,660000.0,125400.0,785400.0,Local,IMPR,SARL,7,2025,July,44000.0
