Num.CMD,Date.CMD,Client,Adresse,Code Produit,Produit,Qte,Montant HT,Taxe,Montant TTC,Type Vente,Catégorie Produit,Wilaya,Forme Juridique,Mois,Année,Nom Mois,PU_Vente,PMP,Marge_Unitaire,Marge_Totale,Taux_Marge,Cout_Ligne
SLSD/0001,2024-12-28,SARL ABC,"Cité 20 Aout, Alger",LAP.0120,Laptop HP Probook G4,4.0,500000.0,95000.0,595000.0,Direct,LAP,Alger,SARL,12,2024,December,125000.0,101666.66666666667,23333.33333333333,93333.33333333331,18.6667,406666.6666666667
SLSD/0001,2024-12-28,SARL ABC,"Cité 20 Aout, Alger",PRI.0020,Printer Canon 6030,1.0,49000.0,9310.0,58310.0,Direct,PRI,Alger,SARL,12,2024,December,49000.0,39461.53846153846,9538.461538461539,9538.461538461539,19.4662,39461.53846153846
SLSD/0001,2024-12-28,SARL ABC,"Cité 20 Aout, Alger",INK.0034,Toner Canon 6030,1.0,1800.0,342.0,2142.0,Direct,INK,Alger,SARL,12,2024,December,1800.0,50.72727272727273,1749.2727272727273,1749.2727272727273,97.1818,50.72727272727273
SLSR/0002,2025-02-22,EURL XYZ,"Coopérative Rym, Blida",LAP.0011,Laptop Lenovo 110,1.0,89000.0,16910.0,105910.0,Retail,LAP,Blida,EURL,2,2025,February,89000.0,67000.0,22000.0,22000.0,24.7191,67000.0
SLSR/0002,2025-02-22,EURL XYZ,"Coopérative Rym, Blida",PRI.0020,Printer Canon 6030,2.0,98000.0,18620.0,116620.0,Retail,PRI,Blida,EURL,2,2025,February,49000.0,39461.53846153846,9538.461538461539,19076.923076923078,19.4662,78923.07692307692
SLSR/0002,2025-02-22,EURL XYZ,"Coopérative Rym, Blida",INK.0004,Toner Canon 6030,2.0,3600.0,684.0,4284.0,Retail,INK,Blida,EURL,2,2025,February,1800.0,0.0,1800.0,3600.0,100.0,0.0
SLSR/0002,2025-02-22,EURL XYZ,"Coopérative Rym, Blida",SCA.0002,Scanner Epson 1600,1.0,21000.0,3990.0,24990.0,Retail,SCA,Blida,EURL,2,2025,February,21000.0,15237.554585152839,5762.445414847161,5762.445414847161,27.4402,15237.554585152839
SLSD/0003,2025-03-15,SARL AGRODZ,"Cité 310 logt Kouba, Alger",PRI.0011,Printer EPSON 3010,2.0,64000.0,12160.0,76160.0,Direct,PRI,Alger,SARL,3,2025,March,32000.0,23000.0,9000.0,18000.0,28.125,46000.0
SLSD/0003,2025-03-15,SARL AGRODZ,"Cité 310 logt Kouba, Alger",LAP.0120,Laptop HP Probook G4,1.0,125000.0,23750.0,148750.0,Direct,LAP,Alger,SARL,3,2025,March,125000.0,101666.66666666667,23333.33333333333,23333.33333333333,18.6667,101666.66666666667
SLSG/0004,2025-03-28,SNC Wiffak,"Boulvard Nord, Sétif",INK.0001,INK Canon 3210,10.0,18000.0,3420.0,21420.0,Government,INK,Sétif,SNC,3,2025,March,1800.0,608.7982832618026,1191.2017167381973,11912.017167381973,66.1779,6087.982832618026
SLSD/0005,2025-03-28,EURL XYZ,"Coopérative Rym, Oran",LAP.0011,Laptop Lenovo 110,3.0,267000.0,50730.0,317730.0,Direct,LAP,Oran,EURL,3,2025,March,89000.0,67000.0,22000.0,66000.0,24.7191,201000.0
SLSD/0005,2025-03-28,EURL XYZ,"Coopérative Rym, Oran",PRI.0011,Printer EPSON 3010,1.0,32000.0,6080.0,38080.0,Direct,PRI,Oran,EURL,3,2025,March,32000.0,23000.0,9000.0,9000.0,28.125,23000.0
SLSD/0005,2025-03-28,EURL XYZ,"Coopérative Rym, Oran",INK.0005,INK Epson 110,10.0,8000.0,1520.0,9520.0,Direct,INK,Oran,EURL,3,2025,March,800.0,612.5409836065573,187.45901639344265,1874.5901639344265,23.4324,6125.4098360655735
