Code Produit,Produit,Date.CMD,Num.CMD,QTY,PU_Achat,Montant HT,Cout_Cumul,QTY_Cumul,PMP_Cumul
LAP.0120,Laptop HP Probook G4,2024-11-05,POL/0001,10.0,100000.0,1000000.0,1000000.0,10.0,100000.0
LAP.0120,Laptop HP Probook G4,2025-02-11,POL/0003,5.0,105000.0,525000.0,1525000.0,15.0,101666.6667
PRI.0020,Printer Canon 6030,2024-11-05,POL/0001,10.0,39000.0,390000.0,390000.0,10.0,39000.0
PRI.0020,Printer Canon 6030,2025-02-11,POL/0003,3.0,41000.0,123000.0,513000.0,13.0,39461.5385
INK.0034,Toner Canon 6030,2024-11-05,POL/0001,20.0,45.0,900.0,900.0,20.0,45.0
INK.0034,Toner Canon 6030,2025-05-20,AFL/0005,30.0,48.0,1440.0,2340.0,50.0,46.8
INK.0034,Toner Canon 6030,2025-06-10,AFL/0008,25.0,50.0,1250.0,3590.0,75.0,47.8667
INK.0034,Toner Canon 6030,2025-07-05,AFL/0011,40.0,52.0,2080.0,5670.0,115.0,49.3043
INK.0034,Toner Canon 6030,2025-08-05,AFL/0014,50.0,54.0,2700.0,8370.0,165.0,50.7273
LAP.0011,Laptop Lenovo 110,2024-12-16,POI/0002,500.0,67000.0,33500000.0,33500000.0,500.0,67000.0
PRI.0011,Printer EPSON 3010,2024-12-16,POI/0002,500.0,23000.0,11500000.0,11500000.0,500.0,23000.0
INK.0001,INK Canon 3210,2024-12-16,POI/0002,1000.0,600.0,600000.0,600000.0,1000.0,600.0
INK.0001,INK Canon 3210,2025-05-25,AFI/0006,40.0,630.0,25200.0,625200.0,1040.0,601.1538
INK.0001,INK Canon 3210,2025-06-15,AFI/0009,30.0,650.0,19500.0,644700.0,1070.0,602.5234
INK.0001,INK Canon 3210,2025-07-15,AFI/0013,50.0,670.0,33500.0,678200.0,1120.0,605.5357
INK.0001,INK Canon 3210,2025-08-10,AFI/0015,45.0,690.0,31050.0,709250.0,1165.0,608.7983
SCA.0002,Scanner Epson 1600,2024-12-16,POI/0002,200.0,15000.0,3000000.0,3000000.0,200.0,15000.0
SCA.0002,Scanner Epson 1600,2025-05-25,AFI/0006,5.0,16000.0,80000.0,3080000.0,205.0,15024.3902
SCA.0002,Scanner Epson 1600,2025-06-18,AFI/0010,6.0,16400.0,98400.0,3178400.0,211.0,15063.5071
SCA.0002,Scanner Epson 1600,2025-07-15,AFI/0013,8.0,17000.0,136000.0,3314400.0,219.0,15134.2466
SCA.0002,Scanner Epson 1600,2025-08-15,AFI/0016,10.0,17500.0,175000.0,3489400.0,229.0,15237.5546
INK.0005,INK Epson 110,2025-02-25,POI/0004,1000.0,600.0,600000.0,600000.0,1000.0,600.0
INK.0005,INK Epson 110,2025-05-28,AFI/0007,50.0,630.0,31500.0,631500.0,1050.0,601.4286
INK.0005,INK Epson 110,2025-06-18,AFI/0010,40.0,650.0,26000.0,657500.0,1090.0,603.211
INK.0005,INK Epson 110,2025-07-10,AFI/0012,60.0,680.0,40800.0,698300.0,1150.0,607.2174
INK.0005,INK Epson 110,2025-08-15,AFI/0016,70.0,700.0,49000.0,747300.0,1220.0,612.541
COMPU.0020,Laptop HP Probook G4,2025-05-20,AFL/0005,15.0,106000.0,1590000.0,1590000.0,15.0,106000.0
COMPU.0020,Laptop HP Probook G4,2025-06-10,AFL/0008,12.0,108000.0,1296000.0,2886000.0,27.0,106888.8889
COMPU.0020,Laptop HP Probook G4,2025-06-15,AFI/0009,8.0,106000.0,848000.0,3734000.0,35.0,106685.7143
COMPU.0020,HP Probook G4 New Edition,2025-07-05,AFL/0011,20.0,109000.0,2180000.0,5914000.0,55.0,107527.2727
COMPU.0020,HP Probook G4 New Edition,2025-07-10,AFI/0012,10.0,108500.0,1085000.0,6999000.0,65.0,107676.9231
COMPU.0020,HP Probook G4 New Edition,2025-08-05,AFL/0014,18.0,111000.0,1998000.0,8997000.0,83.0,108397.5904
COMPU.0020,HP Probook G4 New Edition,2025-08-10,AFI/0015,12.0,110000.0,1320000.0,10317000.0,95.0,108600.0
IMPR.0002,Printer Canon 6030,2025-05-20,AFL/0005,12.0,42000.0,504000.0,504000.0,12.0,42000.0
IMPR.0002,Printer Canon 6030,2025-06-10,AFL/0008,10.0,43000.0,430000.0,934000.0,22.0,42454.5455
IMPR.0002,Printer Canon 6030,2025-07-05,AFL/0011,15.0,44000.0,660000.0,1594000.0,37.0,43081.0811
IMPR.0002,Printer Canon 6030,2025-07-15,AFI/0013,10.0,44000.0,440000.0,2034000.0,47.0,43276.5957
IMPR.0002,Printer Canon 6030,2025-08-05,AFL/0014,20.0,45000.0,900000.0,2934000.0,67.0,43791.0448
IMPR.0002,Printer Canon 6030,2025-08-20,AFI/0017,12.0,45000.0,540000.0,3474000.0,79.0,43974.6835
COMPU.0011,Laptop Lenovo 110,2025-05-25,AFI/0006,8.0,69000.0,552000.0,552000.0,8.0,69000.0
COMPU.0011,Laptop Lenovo 110,2025-06-18,AFI/0010,10.0,71000.0,710000.0,1262000.0,18.0,70111.1111
COMPU.0011,Laptop Lenovo 110,2025-07-15,AFI/0013,12.0,73000.0,876000.0,2138000.0,30.0,71266.6667
COMPU.0011,Laptop Lenovo 110,2025-08-20,AFI/0017,15.0,75000.0,1125000.0,3263000.0,45.0,72511.1111
IMPR.0007,Printer EPSON 3010,2025-05-25,AFI/0006,10.0,24000.0,240000.0,240000.0,10.0,24000.0
IMPR.0007,Printer EPSON 3010,2025-06-15,AFI/0009,8.0,24500.0,196000.0,436000.0,18.0,24222.2222
IMPR.0007,Printer EPSON 3010,2025-07-10,AFI/0012,12.0,25000.0,300000.0,736000.0,30.0,24533.3333
IMPR.0007,Printer EPSON 3010,2025-08-10,AFI/0015,15.0,25500.0,382500.0,1118500.0,45.0,24855.5556
